,5,6,7
0,2400.8492799999995,4830.621277,1431.828
1,1556.7752799999998,959.40928,1598.3259999999998
2,2341.25128,3226.9052799999995,1769.288
3,2313.5312799999997,7319.76328,1431.86
4,1803.4832769999998,1716.16528,1895.128
5,3678.8552769999997,5410.197277,1572.2479999999998
6,2696.0672799999998,7178.505276999999,1261.4299999999998
7,1804.9832769999998,901.19728,1480.116
8,2808.3332799999994,5605.395277,1296.34
9,2395.3052799999996,4830.50728,1599.0219999999997
10,3055.155277,6316.07128,1700.772
11,2661.531277,5598.12328,1541.8839999999998
12,1444.6232799999998,1807.9832769999998,1925.1219999999998
13,3013.461277,6332.93128,1664.1019999999999
14,2901.081277,3114.753277,1904.0379999999998
15,3292.1612769999997,5486.427277,1470.768
16,2912.3972769999996,3114.753277,1656.56
17,2891.4932799999997,3929.7212769999996,1674.5059999999999
18,2657.373277,7197.795279999999,1101.366
19,2199.8792799999997,4859.3852799999995,1310.154
20,2886.063277,3106.3232799999996,1662.3619999999999
21,2556.08128,2350.7252799999997,1395.176
22,1736.95528,4166.727277,1740.388
23,2492.439277,7265.8232769999995,1252.7379999999998
24,3590.151277,6234.52528,1621.0359999999998
25,2475.807277,4813.64728,1431.822
26,1908.8192799999997,1699.5332799999999,1817.86
27,3161.877277,4670.88928,1848.11
28,2396.805277,4829.12128,1472.3639999999998
29,1218.9332799999997,1857.53728,1546.492
30,1902.2312799999997,4144.665277,1753.2079999999999
31,3499.9472769999998,7066.125279999999,1682.6699999999998
32,3312.8372769999996,4661.529277,1545.222
33,2223.555277,6473.259277,1474.7019999999998
34,2906.8532769999997,3120.297277,1638.616
35,1131.38728,1054.81528,1597.7179999999998
36,3103.665277,6312.14128,1752.994
37,2346.79528,7336.39528,1340.546
38,2985.8552769999997,6267.78928,1629.5539999999999
39,2812.4912799999997,4772.637277,1572.674
40,2858.2292799999996,5548.45528,1717.624
41,3217.3172769999996,5493.01528,1462.884
42,1570.749277,2576.87128,1408.47
43,2981.6972769999998,4727.127277,1698.164
44,1968.303277,4109.78728,1417.854
45,1746.999277,4170.77128,1599.08
46,1290.66328,1014.8492799999999,1595.186
47,2694.7952769999997,2324.6192799999994,1713.662
48,1850.60728,895.65328,1690.192
49,2783.499277,4761.20728,1647.5199999999998
50,2463.21928,4016.9252799999995,1294.108
51,2678.163277,4797.24328,1252.882
52,2755.893277,4771.023277,1698.894
53,1651.13728,2565.7832799999996,1693.524
54,1764.6752769999998,3353.145277,1331.318
55,1953.1712799999998,4915.167277,1705.2759999999998
56,1904.775277,1688.2172799999998,1430.29
57,2617.179277,5607.009277,1478.2559999999999
58,2926.4852769999998,4717.197277,1739.062
59,1472.343277,981.6992769999999,1650.9299999999998
60,2073.867277,4097.08528,1847.474
61,3470.9552769999996,5450.04928,1537.6819999999998
62,2077.91128,1658.0672769999999,1800.168
63,3509.6492769999995,7056.42328,1753.3719999999998
64,2545.1072769999996,4807.059276999999,1800.062
65,2134.8512769999998,4075.1372799999995,1807.5379999999998
66,1721.8232769999997,1722.86728,1480.1719999999998
67,2642.127277,6418.86328,1657.896
68,2579.64328,6436.88128,1733.2179999999998
69,1881.09928,3318.3812799999996,1333.676
70,3113.25328,4713.039277,1398.156
71,2147.325277,4082.4092769999997,1908.6499999999999
72,1591.42528,1771.9472769999998,1496.4699999999998
73,3569.2472799999996,7049.607277,1459.512
74,2479.965277,1570.63528,1829.2759999999998
75,1867.239277,4925.91328,1686.5339999999999
76,2446.701277,2386.7612799999997,1867.5059999999999
77,1982.391277,1678.74328,1599.3139999999999
78,2432.841277,5627.45728,1636.704
79,2100.201277,4869.31528,1786.0499999999997
80,2349.5672799999998,4821.73528,1865.2499999999998
81,3583.1072799999997,7048.221277,1593.8719999999998
82,1233.951277,1851.99328,1462.142
83,2570.055277,5606.66728,1657.4479999999999
84,2269.2932769999998,4848.52528,1741.482
85,2845.86928,7161.759279999999,1724.2819999999997
86,1712.1212799999998,4954.203277,1139.104
87,2032.1732769999999,4083.5672769999996,1266.06
88,2927.64328,6281.64928,1274.138
89,3337.899277,7088.30128,1579.4139999999998
90,1826.931277,4929.84328,1428.5459999999998
91,2222.0552799999996,3243.651277,1691.368
92,1939.4252769999998,4912.28128,1497.2939999999999
93,2850.0272769999997,7106.433277,1263.396
94,3161.7632799999997,4676.66128,1570.042
